file_id,loc,sloc,cyclomatic_avg,cyclomatic_max,function_count,class_count,nesting_depth_max,nesting_depth_avg,comment_ratio,avg_var_name_len,unique_var_count,halstead_vocab,parse_error
code_0083,75,52,2.2,5,5,0,1,1.0,0.013333333333333334,4.8571,14,0,False
code_0084,142,103,2.5555555555555554,6,8,1,3,1.25,0.028169014084507043,7.3636,22,0,False
code_0085,116,80,1.9,5,9,1,4,1.6923,0.034482758620689655,5.6875,16,0,False
code_0086,121,83,1.7,4,8,2,1,1.0,0.03305785123966942,6.5294,17,0,False
code_0087,139,94,1.4,4,9,1,1,1.0,0.02877697841726619,9.0,20,0,False
code_0088,135,93,1.4545454545454546,3,9,2,1,1.0,0.02962962962962963,7.2667,15,0,False
code_0089,76,55,1.8181818181818181,3,7,4,1,1.0,0.013157894736842105,6.8,10,0,False
code_0090,52,37,2.0,3,4,1,1,1.0,0.038461538461538464,8.1667,6,0,False
code_0091,74,53,1.8181818181818181,3,7,4,2,1.3333,0.013513513513513514,8.25,8,0,False
code_0092,73,54,1.8181818181818181,3,7,4,1,1.0,0.0136986301369863,6.75,8,0,False
code_0093,74,55,1.8181818181818181,3,7,4,1,1.0,0.013513513513513514,6.125,8,0,False
code_0094,33,24,2.0,3,2,0,1,1.0,0.0,5.6667,6,0,False
code_0095,47,39,1.4285714285714286,2,5,2,1,1.0,0.0,8.5556,9,0,False
code_0096,72,61,1.75,2,4,0,1,1.0,0.0,5.1538,13,0,False
code_0097,49,40,1.3333333333333333,2,3,0,1,1.0,0.0,5.4286,7,0,False
code_0098,53,41,3.25,5,3,1,2,1.1429,0.0,7.0,6,0,False
code_0099,79,53,2.4,5,5,0,2,1.4286,0.0379746835443038,7.0,10,0,False
code_0100,46,35,2.0,3,3,0,2,1.25,0.06521739130434782,8.2,5,0,False
code_0101,65,48,2.3333333333333335,4,6,0,3,1.5714,0.06153846153846154,8.5714,7,0,False
code_0102,53,39,1.4,3,5,0,2,1.3333,0.05660377358490566,6.6667,3,0,False
code_0103,69,51,1.4,3,5,0,2,1.3333,0.043478260869565216,7.0,4,0,False
code_0104,99,73,2.25,4,4,0,1,1.0,0.0,8.5833,24,0,False
code_0105,61,45,1.6666666666666667,3,3,0,1,1.0,0.0,5.7,10,0,False
code_0106,93,65,1.4285714285714286,3,7,0,1,1.0,0.03225806451612903,7.2143,14,0,False
code_0107,96,77,3.5,5,2,0,1,1.0,0.0,5.0,13,0,False
code_0108,94,66,2.0,6,6,0,5,2.4286,0.02127659574468085,6.2727,11,0,False
code_0109,69,53,4.5,8,3,1,6,2.9091,0.0,6.6,5,0,False
code_0110,43,31,2.25,4,3,1,3,1.5,0.0,5.7143,7,0,False
code_0111,65,49,2.5,5,5,1,3,1.5714,0.0,4.5714,7,0,False
code_0112,89,68,2.625,6,7,1,4,2.0833,0.0,7.3846,13,0,False
code_0113,77,54,2.2,4,5,0,1,1.0,0.0,5.7222,18,0,False
code_0114,35,26,2.0,3,3,0,2,1.2,0.02857142857142857,6.0,4,0,False
code_0115,61,42,5.333333333333333,9,3,0,3,1.4545,0.01639344262295082,4.8,5,0,False
code_0116,55,40,3.5,6,4,0,2,1.2857,0.01818181818181818,5.0909,11,0,False
code_0117,55,41,2.0,4,4,0,1,1.0,0.01818181818181818,6.5,4,0,False
code_0118,75,58,3.0,5,4,0,3,1.5556,0.013333333333333334,4.7143,7,0,False
code_0119,54,43,2.6666666666666665,6,3,0,4,2.2,0.0,7.6154,13,0,False
code_0120,51,42,1.5,2,2,0,1,1.0,0.0,7.2857,7,0,False
code_0121,54,41,2.0,3,4,0,2,1.25,0.0,7.625,16,0,False
code_0122,79,61,2.8,4,5,0,4,1.9231,0.0,6.8333,18,0,False
code_0123,85,68,1.75,3,6,2,1,1.0,0.0,8.0,4,0,False
code_0124,58,37,2.0,3,4,0,1,1.0,0.017241379310344827,4.3333,3,0,False
code_0125,57,43,4.0,7,2,0,1,1.0,0.017543859649122806,5.6667,3,0,False
code_0126,101,74,2.25,5,4,0,2,1.4286,0.0,5.6471,34,0,False
code_0127,56,42,1.4,3,5,0,2,1.5,0.0,3.8571,14,0,False
code_0128,78,55,3.3333333333333335,6,3,0,2,1.5,0.0,5.9565,23,0,False
code_0129,165,130,1.9230769230769231,3,10,3,2,1.3,0.012121212121212121,6.7647,17,0,False
code_0130,158,117,1.4444444444444444,3,9,0,2,1.125,0.006329113924050633,6.7586,29,0,False
code_0131,238,180,2.076923076923077,4,13,0,1,1.0,0.004201680672268907,4.7368,19,0,False
code_0132,211,164,1.6666666666666667,6,9,0,1,1.0,0.004739336492890996,5.4286,14,0,False
code_0133,173,137,1.6,2,5,0,1,1.0,0.023121387283236993,4.6667,9,0,False
code_0134,127,87,1.75,4,11,1,2,1.2857,0.031496062992125984,4.9474,19,0,False
code_0135,135,91,2.090909090909091,4,11,0,4,1.55,0.05185185185185185,6.3333,18,0,False
code_0136,152,99,1.9,4,10,0,4,1.5625,0.03289473684210526,6.6,25,0,False
code_0137,208,153,1.5833333333333333,3,12,0,1,1.0,0.03365384615384615,7.2105,19,0,False
code_0138,52,34,2.0,3,2,0,3,2.1667,0.019230769230769232,5.7,10,0,False
code_0139,96,71,2.0,4,3,0,1,1.0,0.010416666666666666,6.3846,13,0,False
code_0140,93,62,2.25,4,4,0,3,1.4286,0.010752688172043012,10.2105,19,0,False
code_0141,102,69,2.75,5,4,0,1,1.0,0.00980392156862745,5.95,20,0,False
code_0142,101,68,4.25,8,4,0,2,1.5,0.009900990099009901,5.5,22,0,False
code_0143,83,64,1.2,2,5,0,1,1.0,0.012048192771084338,10.125,8,0,False
code_0144,157,122,1.0,1,2,0,1,1.0,0.006369426751592357,9.3333,6,0,False
code_0145,70,50,1.5,2,2,0,1,1.0,0.014285714285714285,6.5,2,0,False
code_0146,128,73,1.6,3,6,0,1,1.0,0.1484375,7.0,29,0,False
code_0147,91,69,1.4,2,5,0,2,1.25,0.08791208791208792,6.625,8,0,False
code_0148,57,44,3.0,5,2,0,3,1.8,0.05263157894736842,9.125,8,0,False
code_0149,84,61,2.0,3,2,1,1,1.0,0.10714285714285714,10.1667,12,0,False
code_0150,83,59,2.2,4,4,1,1,1.0,0.0963855421686747,6.3636,11,0,False
code_0151,67,51,1.1666666666666667,2,8,0,1,1.0,0.07462686567164178,10.0,2,0,False
code_0152,124,95,1.6470588235294117,4,13,4,2,1.4286,0.04838709677419355,7.3636,11,0,False
code_0153,53,43,1.75,3,6,2,2,1.3333,0.018867924528301886,5.4,5,0,False
code_0154,44,35,2.0,3,4,1,1,1.0,0.045454545454545456,6.6,5,0,False
code_0155,35,29,1.8333333333333333,3,4,2,1,1.0,0.02857142857142857,6.75,4,0,False
code_0156,34,22,1.6,3,4,1,1,1.0,0.11764705882352941,9.0,5,0,False
code_0157,62,47,6.0,6,1,0,4,2.2,0.06451612903225806,8.375,16,0,False
code_0158,45,40,2.5,3,2,0,4,2.2,0.0,9.7,10,0,False
code_0159,35,24,1.0,1,1,0,1,1.0,0.14285714285714285,4.5,4,0,False
code_0160,32,25,1.0,1,2,0,1,1.0,0.03125,7.1429,7,0,False
code_0161,35,25,3.0,3,1,0,2,1.5,0.08571428571428572,6.5,4,0,False
code_0162,54,51,1.0,1,2,0,1,1.0,0.0,10.0,3,0,False
code_0163,32,23,2.0,2,1,0,2,1.3333,0.09375,8.0,5,0,False
code_0164,40,32,1.0,1,1,0,1,1.0,0.075,3.0,2,0,False
code_0165,36,32,1.0,1,1,0,1,1.0,0.0,12.3333,3,0,False
code_0166,46,40,1.0,1,1,0,1,1.0,0.0,7.0,2,0,False
code_0167,22,17,1.6,3,4,1,2,1.3333,0.0,7.0,1,0,False
code_0168,21,18,1.0,1,1,0,1,1.0,0.047619047619047616,15.0,1,0,False
code_0169,19,16,1.0,1,1,0,1,1.0,0.05263157894736842,10.0,1,0,False
code_0170,21,18,1.0,1,1,0,1,1.0,0.047619047619047616,12.0,1,0,False
code_0171,16,13,1.0,1,1,0,1,1.0,0.0625,14.0,1,0,False
code_0172,34,30,1.25,2,3,1,2,1.5,0.0,6.2857,7,0,False
code_0173,25,21,2.25,3,3,1,2,1.3333,0.0,6.0,9,0,False
code_0174,21,18,4.5,5,1,1,1,1.0,0.0,7.0,3,0,False
code_0175,22,16,2.25,3,3,1,1,1.0,0.045454545454545456,6.5556,9,0,False
code_0176,20,15,3.3333333333333335,5,2,1,2,1.25,0.05,10.5,4,0,False
code_0177,27,23,1.0,1,0,0,0,0.0,0.0,6.0,11,0,False
code_0178,28,23,1.0,1,0,0,0,0.0,0.0,5.8,5,0,False
code_0179,19,15,1.0,1,0,0,0,0.0,0.0,7.5,2,0,False
code_0180,23,17,1.0,1,0,0,0,0.0,0.0,8.4286,7,0,False
code_0181,18,14,1.0,1,0,0,0,0.0,0.0,6.0,4,0,False
code_0182,25,19,1.5,2,2,0,2,1.4,0.0,7.6667,6,0,False
code_0183,31,23,1.0,1,1,0,1,1.0,0.0,4.6667,3,0,False
code_0184,31,26,2.5,3,3,1,3,1.4286,0.0,5.875,8,0,False
code_0185,26,21,5.0,5,1,0,3,1.6667,0.0,9.375,8,0,False
code_0186,37,33,2.5,4,3,1,3,1.6,0.0,7.0,4,0,False
code_0187,33,27,1.0,1,1,0,1,1.0,0.0,6.8333,6,0,False
code_0188,26,21,2.0,2,1,0,1,1.0,0.0,5.0,7,0,False
code_0189,25,20,1.0,1,1,0,1,1.0,0.0,6.0,4,0,False
code_0190,39,33,2.0,3,2,0,2,1.3333,0.0,7.5,4,0,False
code_0191,34,27,1.0,1,2,0,1,1.0,0.0,12.0,10,0,False
code_0192,58,51,1.0,1,3,0,1,1.0,0.0,6.0,4,0,False
code_0193,49,42,1.0,1,1,0,1,1.0,0.0,3.5,2,0,False
code_0194,25,18,3.0,5,2,0,3,1.8,0.04,3.6667,3,0,False
code_0195,32,26,2.0,3,3,0,1,1.0,0.0,6.75,4,0,False
code_0196,26,20,1.0,1,1,0,1,1.0,0.0,9.7,10,0,False
code_0197,26,21,3.0,3,1,0,2,1.3333,0.038461538461538464,6.8,5,0,False
code_0198,21,16,2.0,2,1,0,1,1.0,0.047619047619047616,7.75,4,0,False
code_0199,19,13,2.0,2,1,0,1,1.0,0.05263157894736842,5.6667,6,0,False
code_0200,24,19,1.25,2,3,1,1,1.0,0.041666666666666664,7.5,4,0,False
code_0201,30,25,2.5,4,3,1,3,1.6,0.03333333333333333,7.8,5,0,False
code_0202,117,90,2.0,4,10,1,3,1.4286,0.05128205128205128,7.5455,11,0,False
code_0203,121,89,3.0,6,6,1,2,1.3636,0.05785123966942149,7.4737,19,0,False
code_0204,110,83,2.5,7,9,1,3,1.3333,0.06363636363636363,6.6667,6,0,False
code_0205,175,136,2.6923076923076925,7,12,1,3,1.3704,0.05142857142857143,6.6,20,0,False
code_0206,125,100,1.9230769230769231,3,12,2,3,1.5,0.048,6.9048,21,0,False
code_0207,66,50,4.0,6,3,0,3,1.5714,0.07575757575757576,6.5,8,0,False
code_0208,68,52,2.1666666666666665,6,5,1,2,1.5,0.07352941176470588,6.9375,16,0,False
code_0209,58,46,2.0,4,4,1,2,1.25,0.05172413793103448,6.625,8,0,False
code_0210,74,57,2.0,4,5,1,1,1.0,0.013513513513513514,6.24,25,0,False
code_0211,73,59,2.0,4,5,1,3,1.6,0.0136986301369863,5.2667,15,0,False
code_0212,40,23,3.0,3,1,0,2,1.25,0.225,3.75,8,0,False
code_0213,34,23,2.0,2,1,0,2,1.5,0.14705882352941177,2.625,8,0,False
code_0214,62,44,3.0,3,1,0,2,1.4,0.12903225806451613,7.6667,12,0,False
code_0215,36,25,3.0,3,1,0,3,1.8,0.1388888888888889,9.5714,7,0,False
code_0216,49,29,2.0,2,1,0,2,1.3333,0.1836734693877551,8.4545,11,0,False
code_0217,67,43,2.6666666666666665,6,3,0,2,1.4,0.14925373134328357,7.1111,9,0,False
code_0218,108,89,1.0,1,1,0,1,1.0,0.046296296296296294,9.75,4,0,False
code_0219,92,65,1.0,1,1,0,1,1.0,0.10869565217391304,9.3333,3,0,False
code_0220,55,32,1.2,2,4,1,1,1.0,0.18181818181818182,11.875,8,0,False
code_0221,53,39,4.5,7,2,0,2,1.25,0.09433962264150944,8.3333,9,0,False
code_0222,34,25,3.0,3,2,0,2,1.4,0.0,7.5,4,0,False
code_0223,45,34,2.5,3,2,0,2,1.25,0.044444444444444446,6.8889,9,0,False
code_0224,40,33,2.0,2,2,0,1,1.0,0.025,7.4444,9,0,False
code_0225,61,42,5.0,9,2,0,1,1.0,0.09836065573770492,9.0714,14,0,False
code_0226,61,46,3.5,6,2,0,1,1.0,0.06557377049180328,9.0,6,0,False
code_0227,64,44,2.0,3,3,0,2,1.25,0.09375,12.4286,7,0,False
code_0228,56,43,1.5,2,2,0,1,1.0,0.05357142857142857,10.8,5,0,False
code_0229,63,46,2.3333333333333335,3,3,0,2,1.25,0.07936507936507936,9.2222,9,0,False
code_0230,114,86,1.6666666666666667,3,8,4,2,1.2,0.07017543859649122,8.2222,18,0,False
code_0231,96,75,1.9,4,7,3,2,1.3333,0.0625,8.1739,23,0,False
code_0232,99,73,1.7,4,5,5,2,1.6,0.09090909090909091,9.125,16,0,False
code_0233,119,96,2.0,4,4,4,4,1.7778,0.03361344537815126,8.9259,27,0,False
code_0234,106,84,1.75,3,5,3,2,1.3333,0.03773584905660377,8.1429,21,0,False
code_0235,51,39,2.0,3,3,0,2,1.3333,0.0784313725490196,7.0,5,0,False
code_0236,39,31,1.0,1,3,0,1,1.0,0.05128205128205128,10.5,4,0,False
code_0237,50,40,3.0,5,2,0,4,2.2,0.08,11.0,2,0,False
code_0238,37,28,1.0,1,2,0,1,1.0,0.05405405405405406,12.0,2,0,False
code_0239,34,25,1.0,1,2,0,1,1.0,0.058823529411764705,12.0,2,0,False
code_0240,57,36,3.0,3,1,0,1,1.0,0.14035087719298245,6.1667,6,0,False
code_0241,58,41,2.5,3,2,0,2,1.25,0.10344827586206896,10.25,8,0,False
code_0242,97,69,2.0,2,3,0,1,1.0,0.1134020618556701,5.7692,13,0,False
code_0243,55,40,2.0,3,2,0,1,1.0,0.10909090909090909,6.0,5,0,False
code_0244,57,42,3.0,3,1,0,1,1.0,0.08771929824561403,9.6667,9,0,False
code_0245,66,48,2.2,4,4,1,2,1.1667,0.07575757575757576,6.1667,6,0,False
code_0246,61,49,2.0,4,4,1,2,1.3333,0.04918032786885246,8.7143,7,0,False
code_0247,68,49,2.0,4,4,1,3,1.75,0.08823529411764706,10.6667,6,0,False
code_0248,85,67,2.0,3,4,1,1,1.0,0.07058823529411765,9.25,4,0,False
code_0249,62,44,2.4,6,4,1,3,1.6,0.0967741935483871,7.75,4,0,False
code_0250,74,49,1.5,2,4,0,1,1.0,0.14864864864864866,6.3636,11,0,False
code_0251,105,86,1.3333333333333333,2,3,0,1,1.0,0.08571428571428572,9.0,5,0,False
code_0252,105,82,1.5,3,4,0,1,1.0,0.06666666666666667,7.5,12,0,False
code_0253,136,122,3.3333333333333335,8,3,0,1,1.0,0.022058823529411766,6.8333,6,0,False
code_0254,87,55,2.1666666666666665,6,5,1,2,1.25,0.19540229885057472,6.625,8,0,False
code_0255,77,60,6.5,11,3,1,5,2.7143,0.05194805194805195,5.3333,9,0,False
code_0256,76,52,4.0,5,3,1,5,2.0,0.07894736842105263,5.5556,9,0,False
code_0257,71,59,3.5,11,5,1,3,1.9,0.014084507042253521,7.5714,7,0,False
code_0258,79,66,3.3333333333333335,9,5,1,5,2.3636,0.012658227848101266,6.3333,12,0,False
code_0259,68,51,2.0,4,4,1,3,1.8571,0.029411764705882353,7.15,20,0,False
code_0260,51,36,1.5,2,5,1,1,1.0,0.09803921568627451,9.1667,6,0,False
code_0261,78,64,3.1666666666666665,6,5,1,2,1.4,0.02564102564102564,6.8,10,0,False
code_0262,66,46,2.6,4,4,1,2,1.5,0.10606060606060606,5.5,10,0,False
code_0263,56,41,2.25,4,3,1,2,1.5,0.07142857142857142,5.0,4,0,False
code_0264,77,66,3.0,5,4,1,4,2.1111,0.012987012987012988,7.0,8,0,False
code_0265,65,47,2.5,4,3,1,3,1.6667,0.1076923076923077,8.25,8,0,False
code_0266,83,69,2.5,4,2,0,2,1.25,0.04819277108433735,9.1,10,0,False
code_0267,64,45,5.0,8,2,1,4,2.375,0.109375,8.3636,11,0,False
code_0268,78,60,6.25,14,3,1,7,3.1333,0.0641025641025641,6.2308,13,0,False
code_0269,83,66,1.5714285714285714,3,6,1,2,1.2,0.04819277108433735,5.7143,7,0,False
code_0270,54,42,4.0,4,1,0,1,1.0,0.037037037037037035,10.4,5,0,False
code_0271,54,43,4.0,4,1,0,1,1.0,0.07407407407407407,7.0,1,0,False
code_0272,67,47,5.0,5,1,0,2,1.25,0.13432835820895522,12.8,5,0,False
code_0273,54,39,4.0,4,1,0,1,1.0,0.12962962962962962,10.25,4,0,False
code_0274,69,54,5.0,5,1,0,1,1.0,0.07246376811594203,9.0,7,0,False
code_0275,71,51,5.0,5,1,0,3,2.0,0.11267605633802817,6.7143,7,0,False
code_0276,78,55,1.5,3,5,1,1,1.0,0.11538461538461539,7.8889,9,0,False
code_0277,102,80,2.125,4,7,1,3,1.4167,0.058823529411764705,5.5455,11,0,False
code_0278,90,69,1.5,2,5,1,1,1.0,0.05555555555555555,7.4444,9,0,False
code_0279,95,74,2.7142857142857144,9,6,1,6,2.6,0.042105263157894736,5.5,6,0,False
code_0280,64,46,4.0,4,1,0,2,1.5,0.09375,8.8333,6,0,False
code_0281,55,41,3.0,4,2,0,4,2.0,0.07272727272727272,8.0667,15,0,False
code_0282,96,70,2.7142857142857144,6,6,1,4,1.8462,0.09375,7.1818,11,0,False
code_0283,83,68,4.5,8,2,0,5,2.8,0.024096385542168676,7.0625,16,0,False
code_0284,66,55,3.0,4,3,0,2,1.3333,0.015151515151515152,6.8333,12,0,False
code_0285,82,63,1.5,2,5,1,1,1.0,0.04878048780487805,5.4167,12,0,False
code_0286,84,67,3.3333333333333335,7,3,0,5,2.4444,0.03571428571428571,6.4375,16,0,False
code_0287,76,61,4.333333333333333,6,3,0,3,1.5,0.02631578947368421,7.3333,18,0,False
code_0288,111,85,6.2,15,4,1,4,2.0526,0.05405405405405406,6.6842,19,0,False
code_0289,59,48,1.3333333333333333,2,3,0,1,1.0,0.03389830508474576,10.125,8,0,False
code_0290,139,105,1.0,1,3,0,1,1.0,0.05755395683453238,11.8,5,0,False
code_0291,74,55,2.0,2,1,0,1,1.0,0.08108108108108109,7.1667,6,0,False
code_0292,116,83,2.1666666666666665,4,5,1,3,1.4286,0.05172413793103448,5.8,15,0,False
code_0293,92,77,3.6666666666666665,5,3,0,3,1.75,0.021739130434782608,5.5833,12,0,False
code_0294,72,57,2.25,5,3,1,2,1.2,0.05555555555555555,5.5,10,0,False
code_0295,109,72,2.0,4,4,0,2,1.2,0.13761467889908258,7.4706,17,0,False
code_0296,98,80,1.6,5,11,1,3,1.4286,0.030612244897959183,7.1429,7,0,False
code_0297,94,72,2.1666666666666665,5,5,1,1,1.0,0.05319148936170213,5.8667,15,0,False
code_0298,61,54,2.1666666666666665,3,5,1,2,1.1667,0.0,7.0,5,0,False
code_0299,181,139,0.0,0,0,0,0,0.0,0.09944751381215469,0.0,0,0,True
code_0300,120,83,2.2,6,3,2,3,1.6,0.175,6.9412,17,0,False
code_0301,125,80,2.75,4,7,1,2,1.5,0.224,4.6667,3,0,False
code_0302,112,99,2.8333333333333335,5,6,0,4,1.7273,0.026785714285714284,7.6111,18,0,False
code_0303,67,58,2.142857142857143,3,6,1,2,1.2857,0.0,7.0,7,0,False
code_0304,163,125,2.0,4,8,1,2,1.4545,0.1165644171779141,5.3333,12,0,False
code_0305,132,81,1.8,4,9,1,2,1.2857,0.18181818181818182,11.3636,11,0,False
code_0306,138,110,2.1538461538461537,4,10,3,3,1.4444,0.07971014492753623,12.0,11,0,False
code_0307,97,66,1.0,1,6,0,2,1.5,0.17525773195876287,8.3125,16,0,False
code_0308,89,72,1.5384615384615385,2,10,3,1,1.0,0.0449438202247191,8.4,5,0,False
